2000 1
912908727 909993663
766381743 816660417 2447260
475680500 372317910 5466432
418004255 776059616 4645118
588851647 280620411 3095676
438700490 365797642 7910256
742468767 502952736 7447057
480370427 488702617 5072064
724402548 878038907 2705541
686432239 348222496 394615
104256077 857369796 4481867
667549178 352158882 8974404
470771405 411725936 83632
174640453 260223894 4523275
225771820 352844054 3901068
888793670 459871648 7574871
880759287 577217244 2936462
849880834 20349027 4649255
474388887 97538364 1740476
897932839 583536963 3781779
728307858 562124715 257673
717767675 546046578 2768098
570689609 75157188 3841100
390200525 300606399 2315687
901989110 39406828 4203202
565325719 388128651 2209795
597750887 541476270 2591863
764989875 192990696 8823062
628564567 598705013 2445406
696788734 872661344 8012460
823583827 425576848 4033473
373288056 520941119 5951400
782060115 266996278 1560579
536874311 197052037 4829920
344649489 362654037 5650149
539356093 880623532 4880553
624621596 273269751 8767322
437986155 900451478 5895643
536582071 316452555 162440
192970199 643336970 3703626
115899011 92424641 455701
401809860 828033108 2344123
648343687 598285313 307827
319704825 481700343 4028966
377956596 579689440 1765581
633382044 199284466 5042435
598938330 890728893 7469806
110849915 536797462 556487
390285271 630569807 4582848
364763364 153983017 5851297
225226550 79603197 6508715
851192329 248558307 6608125
151977669 624175365 3459569
545850750 826618858 6118912
515725755 243988571 7072311
690007016 789388057 4514091
134712020 735733385 2468993
274381882 17582392 3678452
333871820 564683583 2428448
733770123 528690732 9687430
882791757 857643146 1532628
300880082 16549982 9029463
633116540 883761740 8506235
709579072 214475837 790838
419795179 428167279 6569532
864614327 625345941 7066443
781476453 106773134 2391920
146350068 545552860 3683616
165691083 282144973 1512197
904331542 781366327 2749402
408394518 411352451 5282220
812321561 733164195 2674181
876590180 219632369 10696632
35418504 476156959 635920
52249473 264334896 7514992
96427489 629145116 7425030
82193345 302345999 2932280
359218590 443663500 11424409
312676436 459153093 8411842
19509948 718621904 9842115
571140671 869005263 5880536
59747922 712467422 3937296
242373980 159209289 8233685
448611350 844111124 5331752
161584675 517128351 2250450
265027191 857269013 5794009
768304486 788032386 8327400
180746498 722100869 4537222
504203353 758276891 8738912
162755830 574162494 3538128
577244966 557419701 10249104
689070848 141589867 8469073
656486440 461155170 1160744
205086653 846464994 954799
896563745 605131143 7309868
604357080 137654814 622348
850609350 113618881 5703032
163478790 337070804 6063828
17609498 383936264 512469
191791786 235127847 1351280
207738960 47547394 3804589
877103787 133114892 2236751
305351530 862290071 62891
226415246 59748327 2887051
460069465 441379115 2287325
248346281 596093773 5090568
181106479 301120573 4591038
562628348 612547222 234123
772051069 748129423 2714700
870156731 380078222 4899864
712115258 862422044 5962926
409476255 218077754 8056769
296227438 572299526 532833
261765359 646099225 3024721
99348121 116362918 7651287
610224662 123007869 5121844
470677096 243411199 1676244
491659718 115108547 3081940
510733933 10839666 3658134
740278892 618556525 7323451
346945772 579493868 8709624
110131839 576002144 7999250
193432545 840759812 1124109
345548616 15989290 3371168
75935448 201686504 5150633
804823753 36618142 4144610
802317317 552578430 6608663
424307370 411598903 137288
792509907 582582015 4882514
87807826 622878219 930288
901958820 663769558 4284710
395346349 585714578 5963347
171172978 472105248 42292
529683049 107425450 6271721
693875371 502636081 1525372
898095554 69263948 7088007
877788192 591718181 8883230
146017992 712194677 5134261
701401959 424838776 561768
242032687 538438647 3071763
383539316 318471285 2725899
446868734 546064745 1168524
173400092 655615450 1670140
710496120 593695140 3326783
361106055 494820470 2679876
896419477 540353833 2675552
676934095 745626753 5595643
733316201 597312120 9657286
55741467 21271808 6743967
8521075 585381453 394839
629986429 175760279 6680252
703727415 348579457 4359281
77267904 171454674 106886
728269662 389037254 208716
872420719 344310605 5144426
825734166 440625648 5048275
866355713 437147461 2586701
15728704 555055587 6407013
128515508 863902666 6716062
10387366 852706102 3144547
843148732 287861217 5604982
746820684 205619774 6241096
857316439 269709050 9885901
895750050 185754251 5808584
83583351 707917975 8052907
684655293 246011260 3542549
100201416 403302654 2101439
668481580 565689313 4566804
104144776 609179833 601817
828093422 111303767 1481128
402898380 330418722 9837427
563184226 215498773 3873564
173813489 119475034 8397097
534031918 890416586 468274
855096534 804178805 5753571
828639326 887669571 2294543
125499922 16771130 199323
310197779 705091360 9225595
581718286 522717068 878024
699003995 550558936 8072343
141267716 514149606 3949330
53678087 366826410 6646408
51360343 456530976 5919186
612538171 362768002 1753120
583188246 881124955 2231271
480812342 469674181 2791322
355683433 617959432 4636682
448117786 858815829 2227816
483552211 777154327 5422756
659703812 126063519 3336275
162318145 653841381 1947093
434199188 801515692 5998008
531684474 325192297 1277252
606171709 792081851 6109380
649303356 586816347 6184278
158860861 758453914 3830152
80752747 860377924 2489410
21647319 743288194 3290012
861587253 819236334 5451695
828011815 531745854 5225837
260602037 764590714 8767037
640616845 400326273 8714185
293600787 33967734 228368
449443535 131815601 6727298
363656335 595642456 1722802
531922599 902076539 1543659
772505492 98734238 4613557
474037965 351430523 1579787
144744571 318461213 8128122
906563393 569771566 2971307
244761014 659564860 9946153
831571951 344307904 5954755
86151165 167190282 2136780
356208170 407572851 3283517
118385628 599043381 7780078
624810809 315967243 6974852
305740240 379768468 3277830
708542543 648418495 878859
364666918 235929121 2443640
760938046 90735898 1659716
763005967 315757688 2211887
213652382 893283116 3730597
811225072 861081669 878647
499241655 401229231 10888783
809783562 171504096 9725174
840442530 35588562 1337619
412174838 693013498 2363433
102192845 795450138 7879486
153710153 29007273 1579605
236225742 369410876 7105912
157354107 70593323 3646977
213333053 338053436 9050522
899025280 132007220 7819341
213476543 706416812 9852146
69922304 143663328 8792840
841726365 412100232 6827127
837488665 687018889 3811059
862590034 743494398 1147674
846141888 757649853 8122458
547190943 275940270 1996024
156309886 489811709 6787972
610184911 188116284 4127731
841909791 728319872 7241521
346902956 343489275 3901882
854678330 67823216 5829692
449561579 832985583 440816
262763452 148368058 10066916
764773785 834585380 3260026
796111815 850193380 7374758
566448031 598231996 9944005
364244583 536815126 929979
202254725 497565520 9643463
867638928 407415084 1682728
900148719 99971499 7450225
840321432 234035084 6377540
44582105 572720260 437756
636484352 710747633 5155510
807459009 60536385 527448
98206182 69924630 4491741
751121163 297453421 2585919
26725019 579021052 1125361
59992641 121629654 8129127
237360665 866316137 4734384
584244369 186544250 868144
94738655 674375248 4081325
280155604 441622408 4139384
60955178 178006524 6016469
642124854 816335350 4859742
183603663 194484127 1435193
595833698 489954023 8700548
538731547 571035301 4218312
353503729 696978475 6717892
416086244 860999476 8488325
647907445 431878424 7349244
863252024 489347230 7392332
149961977 528136942 7978255
680859399 393092943 7680655
859347754 289478027 1004032
738760462 440851473 2276880
534116357 813936839 4587900
147428189 148485055 7422126
368525583 750596430 6531816
756860077 247915996 3390805
124245112 42287204 7979664
529983256 126282072 3982760
498589187 211150281 8359756
253490003 257651686 9169128
127435434 551534218 5804792
450051795 887245196 8166080
89360954 846756600 4788578
213080568 440154043 6282866
137684029 418860671 5881065
545182025 732724402 3340014
298036040 440450077 5253403
685040685 341182999 135211
684333914 806869021 1226709
754393578 820089325 5061572
142893158 401163045 3570474
638552249 653919649 8706693
460122751 399668301 1507315
766755869 64964143 5123324
455688091 357197937 6351246
605950929 556347546 4780516
593511224 662240249 3417789
405935618 62576781 2831194
669400653 518598247 4095332
826891379 620158008 5023152
459664815 658342364 1634787
884429112 395467711 6071970
781514208 155249374 25193
58304677 237223783 5567205
882674598 521158931 8525421
702892155 319906644 4908804
700833518 270462138 11522918
835202194 430720048 1901956
862242763 469441975 1805206
622866330 828300451 7109712
810735563 524000246 4383182
129972026 439758529 2875961
388674231 23749275 7514774
521860615 195355206 4438784
814665163 704727454 7886818
393231515 127148674 3249752
792647692 711528611 4788765
476963442 445079207 5896510
861515874 901560043 3169529
17840376 515893918 1987095
867972758 849228183 5090721
439682882 645476332 1112370
735573463 804235203 7994648
754722840 50769340 30599
157498901 227853934 3864509
163325823 745877763 1878644
116943690 394227128 5226980
273097404 412696337 7122206
689787384 27063759 3999387
897259839 489800943 1560179
118509173 419069130 2419163
605876713 854339995 3007272
503509521 361117126 2306153
287338360 264467830 6404692
555134153 130695016 7073536
44604226 119341390 361328
197433314 800601585 3354734
860654324 422189571 9898676
232242825 40301467 6778905
306035252 92168394 7766178
620205742 384563512 3131258
157421588 506249126 1173496
659089226 544235099 408880
380051788 486655377 1104007
20765659 250895176 3621250
574476737 289049191 6249912
57640374 872325001 2578071
404680434 379706363 3913409
839716123 445124342 2586977
570649541 364491206 5123148
673004477 638972380 9250227
314597355 366830172 4910412
533318211 511014176 2761108
658024910 474846000 7323463
886867536 898512810 897854
270668802 602313152 8631448
848945236 501667965 742424
89694549 761722684 3425480
811944153 267206768 2514604
473742540 51691187 2427647
774934005 684224082 3494140
103915252 27300099 9463219
333950104 292702708 8969063
486373979 261092280 7087692
189720523 96277707 1701824
339524874 851026243 6697828
487177767 57251122 4268170
174392691 240335554 8925989
225005554 759692217 3541607
415312670 50543166 6761581
315094140 543833980 4586398
179468107 71308401 3763194
140391737 96701074 1978558
154979383 87861697 919094
348306776 411116263 2857204
436209012 725680568 1177489
532540538 310012005 4054521
541489623 374622255 4008779
29306760 678639251 8398548
600159783 758435472 10932495
227456551 420831888 6432164
679700295 73054159 8197808
94206153 392230104 2436
38590318 219922611 6909752
256456330 212389436 207468
632935817 121862069 8801479
211359965 18330029 6982448
346087267 511380119 2209941
442505929 311902644 8833501
664134094 81116972 1614616
63570446 82415005 7125789
781897302 426091517 7577760
302949875 731689148 6945865
116598951 361221205 1920708
719062111 836596404 453582
555228200 618997174 3153708
652057728 117145071 5276500
84661677 54756054 5040298
7125686 684021525 2676331
436657043 690814460 5198896
247800244 846670530 1904996
532417413 905613099 221503
23782009 836818851 9508385
665522738 531081676 290468
82831297 272495713 9665725
674971675 335910505 5038616
451237830 384109710 2620202
278428804 679823849 7609428
750849447 143358690 6552698
29675611 486660987 7572312
650428019 62041422 2381191
269828709 812826663 5377540
127073533 893409461 2875343
338688496 674170551 6640717
643023870 786776578 4485909
416787894 619731024 5659637
346773104 247535715 5338345
195874715 718251264 3574688
289407112 155815596 2834520
616961305 739030249 2551449
517028255 724098482 590988
387240998 466095135 8012017
631435488 697304021 293075
244434518 725180494 12601622
639040737 694866055 3992328
69618306 627191061 8989815
503235065 734270391 5352442
358968115 476181741 2506604
42188544 589719297 7864783
700295127 780202000 5154603
786607066 85583176 6837856
37560796 428537641 1071797
273394759 235419746 1614652
883233998 733602312 3424764
517648940 741737328 4741468
353071722 554064562 7638068
408292277 308808346 5649008
602418584 206199002 1841204
882861916 499561530 2711828
447245904 653587013 5464804
441046170 670875134 4500805
548051587 524869626 6997684
354856913 74993804 689463
435916129 240693497 8978664
837294383 613562715 944325
610122966 514323578 1793488
260227850 889022099 1565015
880097221 407926768 3294661
477152159 157841881 5020810
538325857 500143528 2820733
155164165 301767698 733001
634300351 480240491 198008
495827818 297054129 8730826
750650133 339215379 4908677
40639302 688778898 1698371
660762125 391894917 1456404
33189110 799244287 2466432
182717668 380905628 5562376
736188876 128144624 3856380
41295079 357434408 2281523
527266066 19650863 4499979
805941197 257015472 2806888
191451502 563133102 7169584
819320327 585716707 11007353
793225990 118338485 3975865
134861393 50376247 1430781
863776797 668350383 1993650
677432995 297502488 7109232
111487160 374577106 5364014
231994668 478875112 6891000
297878338 812000875 5954551
612156147 152375614 9484904
796304541 746833345 5248774
726316444 425535169 4026820
502673320 447454200 3785733
763889090 155484337 6842928
827009856 609498905 2702565
91717643 649113008 4579848
358605935 675637572 6661394
752909684 891850516 5560645
427475102 785796819 5082326
521066977 279710780 7348835
82599335 435121136 9680976
472682410 711486301 2504454
227018357 431235224 938946
605305102 28180591 9224696
18119645 68070933 4458675
835600034 784762369 200354
457526348 89385755 293510
547423817 707484105 6359302
753966336 108579262 5534983
295891219 174563524 8683274
292606923 82736732 4863160
217259969 369671372 2540037
800670063 374693726 6497848
36889965 747942542 1130869
175192085 578536251 6828059
82251032 94802009 1999216
672501496 21568665 6539768
156540222 242670111 572088
280196093 704376998 8454956
348455285 84756057 7434311
198513096 786335324 2394787
557495421 190434929 9519208
104669484 425609276 5625807
435160863 502714071 8050521
775850001 641302316 2648328
629319193 445068818 9100118
372332562 639233095 4043672
572295836 538264620 3230884
45724683 757369139 4278037
387935228 440814531 8085899
695773126 11369921 6987015
138751959 450104948 7686784
655737851 655375837 3306113
701252730 643026570 2627489
160725687 897111471 6322886
325687018 737136529 6169466
827740121 746043760 6857299
658691496 499726807 7662454
786519244 896862156 7057731
97485474 90004006 5528670
844723645 208227923 7268439
438905381 63261533 2923468
741990566 388690276 582801
334747214 625952649 9114491
191186000 257009864 6546492
593306305 710491513 9083386
604617192 270905074 3740017
808778587 629685117 2476156
401477926 729886950 5943191
442060442 47468553 6156104
56143254 559308249 866051
676914930 412676737 840213
690253612 59813168 1642329
49985315 505428484 7935648
394977999 189774786 3039093
373478802 480551047 3119207
248021688 787984341 2995036
764197273 51888575 2658439
251285631 546558891 1893895
902267908 745995967 670573
78859223 13361962 8218890
400846508 466415632 49030
409957839 193199989 5981114
444422274 172668455 360336
782371159 256241946 4735047
237380582 134956581 5642151
649596281 520946833 9622148
566708364 234110613 9787797
589129305 157928050 7951788
747237013 281832954 5878000
705287710 167390060 5056261
474057316 179596055 4096548
258156272 583975744 6374599
581801601 848430070 200548
888685972 19020392 6128287
906263892 399294707 2645856
42361956 310492340 7267388
787033923 639321953 4354245
291192126 109407970 5633528
344816753 648454013 7193717
230952931 305551019 6012280
474125072 887367688 2818584
741372801 450539270 2350810
805398756 301551418 2114520
82744767 888501428 8086536
257637887 678305521 7887146
333737942 265039098 3461068
28928164 22944279 4762156
310064231 280696365 3065990
768117584 706436397 9634403
73474829 524859794 3637243
378530321 602185584 5812430
757548750 126071886 1763565
139068159 83713217 4870034
15215803 530742678 7138964
871167612 61939304 2804821
415115509 369679694 5995412
443735899 278512573 6144158
326579113 520447972 1557487
13736975 87887744 6641698
137068419 891366899 4215325
571259340 743351126 8458002
735012269 833235486 6497751
606640122 58127461 11789948
569422197 65397270 487806
272939450 729704171 5514959
329143412 689001837 2303252
443404238 153219548 5092416
557425176 892925004 4333132
860278867 316832897 4150811
667994178 660027308 2500788
527020465 638609858 6269272
233750132 829561181 5477356
401945524 358807400 4538016
218303633 855088422 8841674
813222805 889565768 6091224
446867323 639033886 582924
566442500 319871565 1162234
885361905 746490045 428907
332116824 117422684 3660288
787491206 655931637 5748404
375631762 797397343 1774441
644337366 109786075 66322
845374509 10583216 2561463
792711324 777169185 8651095
184504367 471592934 4099616
526105541 839479692 8526800
744325145 173354015 9488308
406314919 477581510 6807278
420749423 546967399 8607966
419201975 71513172 519612
105429987 892134441 4406510
67730922 60401594 3213833
103603507 710695673 3812956
575870921 312378157 5242617
40029915 895621902 5993600
614286050 133262356 2239594
655713907 905222050 2127361
178156061 648929756 2627184
761928056 533612501 7706269
73279169 220114355 1817015
107669473 545351539 3039861
108798160 242073970 2734121
636431733 680653883 2072440
690032777 416830571 2897992
510905283 795665203 6600924
59063513 604846137 7735519
62876795 489252394 4929736
895306367 373262533 5738792
527396423 58561907 6673289
22627138 773291502 6158860
114319710 356413091 1142368
553592547 784814418 2077648
386724539 810454819 6054639
315945021 632203443 3287336
336792180 609407342 121922
462715158 458873407 5991030
175499192 406467157 8061788
218136754 173129069 1674491
20130490 903610093 4048881
381638844 656759371 63568
516344734 153967965 7525261
135147385 142449107 630363
490943539 624079238 4948575
564878732 169013177 267782
202235035 124788275 9479250
878926544 793374905 6116155
635428555 149150076 7852401
88863560 871285798 4057845
71539390 778630921 6852098
588871430 729028513 4350045
89264004 315357291 8173574
541295047 668898612 9632106
313538917 223621606 10303538
310535840 523471285 5560957
47557453 101332240 6954137
616791846 628764893 2115665
626070130 490395442 5826755
349269964 806321933 3885665
554388841 795606283 4212744
684663599 849253650 8029056
554259577 400363269 7459389
171841864 89892110 8116300
150270768 834043030 2246548
731064732 778119542 6022672
538727301 421312156 7912629
582614667 537066580 1584415
553615685 301638482 7869256
521586741 623365004 261700
478275944 337446008 5620988
477745068 818899286 226469
627041301 15458245 1815797
587342570 57683051 104412
374170771 494486918 6533020
320539571 167994968 7958933
509456573 53000859 7884592
692231720 601520024 8847156
38179758 333972646 8618970
328004222 888718584 7725096
220140533 163602668 2383406
610291475 427668396 1212272
300691203 677269010 9295494
469456171 142685347 7823180
123750454 7292506 4921767
717949520 580633439 8195704
285391049 34767014 157480
232118584 116810006 5768807
253822114 505207223 3445492
332672586 437612358 335974
527746774 445142208 1988077
492709398 101506300 4499628
451752455 339780443 6997129
791972233 690478968 7747140
801843881 402404673 6479275
331653392 493570054 6301166
23333641 359761083 2805076
482024996 66511222 3151390
765303354 220615266 6468514
443093368 250109175 88746
9888349 840999725 308623
429854456 767199505 4550488
877400841 833307777 1614132
586354103 102019411 8059780
54980029 828068903 4449945
575073604 270639594 2246960
713787252 146307010 7847055
662429134 157942288 9173544
743699734 644554948 2751597
873580536 31805463 4840269
744082831 852697228 1029243
833921993 269032433 5300108
811036302 242854278 5781411
332685100 231696108 3724992
74327939 36907868 8105677
38888911 40986417 4561633
734190652 579235655 4223581
842991782 571399927 8789195
716631851 731202249 76028
42408364 877652602 685188
540669123 448225960 1999616
125908282 748881460 4384726
455994464 427736099 5844372
903289738 289819165 3610600
323352816 611225836 2418512
188810280 734603988 4798330
770422921 271851396 2724275
107478369 690004652 3329056
55994713 215760620 3805743
771946598 873746831 8581959
365484409 645256739 153058
722700989 358037093 7159796
826244162 122965403 4325102
128158593 365093956 4340105
726160944 399918016 5568312
534705489 267471463 2282205
466636710 416600427 2458959
145922292 41958011 3514502
641892638 732901705 3396476
464206506 93349122 2647312
878642998 609563365 3437541
12939549 243389461 3978913
183080177 452688979 6717632
274763418 656866951 5398172
292730644 422459602 3310498
556418879 725694039 4549183
513894139 306348526 7176408
432457328 192688371 7659536
440667626 868421645 3211152
567838027 582349861 1928560
16763608 224305898 4190828
39031931 644519259 9589560
517177967 666230352 7613827
614552146 476138658 7686910
877432862 700666908 7511486
453200955 778893370 8784827
46830566 202255669 2171114
567255201 690273231 4710776
329791177 716233856 4432655
427952532 457788615 3848961
132679873 349096962 8286571
50323291 383899118 570067
187412281 36552157 7049776
697232249 336334846 2774373
639289210 749345589 5084902
12017333 103706887 2557218
474111168 24564366 7949023
899345696 348359013 3268084
42195981 546309200 5195812
742564060 306990825 4289643
326528736 798249773 10563331
136615672 570440938 8406722
520228130 337170034 5127484
175187275 743615378 4349634
506860932 887331048 9721151
143560126 744621966 6240860
600158233 594280891 2340233
779128339 543712352 3906760
191651489 515657498 3254596
806076379 134819493 8591635
283061729 386612890 8619204
623653612 68135007 928268
703365643 829368114 3537839
45053621 669186364 1556621
183335350 850050513 2325018
252495153 392511000 5870174
892570865 337707724 3536016
713502063 666128456 7210085
876439840 657436410 32541
655264926 770288333 8126307
897396470 114259993 1810466
135304918 334029146 106564
820537954 774068095 2896616
489428247 92785979 761349
329535594 88751558 1734464
21544856 191386140 6499968
463845148 836367718 820162
284631314 791578804 6288165
171168038 866107271 4806258
34010834 112757338 3938786
876271836 758879680 3761236
464042907 474357691 4505543
617969236 76752165 1444236
562615300 629822990 2949409
384787065 788768271 447907
273885485 172812811 3393110
190561453 315911772 5439487
521312868 182634246 2691168
574316987 335266303 8292466
714146617 21733199 7712608
288313930 599938876 2833524
860323449 869910063 5906304
705083291 388591472 2869573
483054798 236650821 4556453
544596511 99339374 494282
737854679 724453960 7408119
241231177 696847637 1551744
4714361 1
